VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y
10, 41344, -3.02811,  10.84728, -35.98653,  0.00287,  0.78223, -0.62305,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70654,  0.15735,  0.518,  0.67053,  0.518,  0.67053,  0.518,  0.67053
11, 41346, -1.55982,  10.84728, -35.98653,  0.00572,  0.77539, -0.63135,  0.00,  1.00, -0.00346,  0.00481, -1.00,  1.00,  1.00,  1.00,  1.00,  1.28125,  0.15735,  0.52522,  0.67053,  0.52522,  0.67053,  0.52522,  0.67053
12, 41344, -3.02811,  10.84728, -35.98653,  0.00287,  0.78223, -0.62305,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70654,  0.15735,  0.518,  0.67053,  0.518,  0.67053,  0.518,  0.67053
13, 41343, -4.55286,  10.84728, -35.98653, -1.19209E-07,  0.7876, -0.6167,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.10968,  0.15735,  0.5105,  0.67053,  0.5105,  0.67053,  0.5105,  0.67053
14, 41347, -4.5356,  11.1092, -35.52932,  0.00,  0.8999, -0.43579,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.11066,  0.39697,  0.51051,  0.67306,  0.51051,  0.67306,  0.51051,  0.67306
15, 41344, -3.02811,  10.84728, -35.98653,  0.00287,  0.78223, -0.62305,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70654,  0.15735,  0.518,  0.67053,  0.518,  0.67053,  0.518,  0.67053
16, 41347, -4.5356,  11.1092, -35.52932,  0.00,  0.8999, -0.43579,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.11066,  0.39697,  0.51051,  0.67306,  0.51051,  0.67306,  0.51051,  0.67306
17, 41348, -3.01965,  11.1092, -35.52932,  0.00,  0.90088, -0.43408,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70703,  0.39697,  0.518,  0.67306,  0.518,  0.67306,  0.518,  0.67306
18, 41349, -4.49444,  11.46076, -34.6439,  0.00,  0.9292, -0.36914,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.1106,  0.97949,  0.51051,  0.67923,  0.51051,  0.67923,  0.51051,  0.67923
19, 41348, -3.01965,  11.1092, -35.52932,  0.00,  0.90088, -0.43408,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70703,  0.39697,  0.518,  0.67306,  0.518,  0.67306,  0.518,  0.67306
20, 41347, -4.5356,  11.1092, -35.52932,  0.00,  0.8999, -0.43579,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.11066,  0.39697,  0.51051,  0.67306,  0.51051,  0.67306,  0.51051,  0.67306
21, 41349, -4.49444,  11.46076, -34.6439,  0.00,  0.9292, -0.36914,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.1106,  0.97949,  0.51051,  0.67923,  0.51051,  0.67923,  0.51051,  0.67923
22, 41350, -2.99945,  11.46076, -34.6439,  0.00,  0.9292, -0.36914,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70703,  0.97949,  0.518,  0.67923,  0.518,  0.67923,  0.518,  0.67923
23, 41348, -3.01965,  11.1092, -35.52932,  0.00,  0.90088, -0.43408,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70703,  0.39697,  0.518,  0.67306,  0.518,  0.67306,  0.518,  0.67306
24, 41351, -1.55982,  11.1092, -35.52932,  0.00,  0.90088, -0.43408,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  1.28125,  0.39697,  0.52522,  0.67306,  0.52522,  0.67306,  0.52522,  0.67306
25, 41348, -3.01965,  11.1092, -35.52932,  0.00,  0.90088, -0.43408,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70703,  0.39697,  0.518,  0.67306,  0.518,  0.67306,  0.518,  0.67306
26, 41350, -2.99945,  11.46076, -34.6439,  0.00,  0.9292, -0.36914,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70703,  0.97949,  0.518,  0.67923,  0.518,  0.67923,  0.518,  0.67923
27, 41351, -1.55982,  11.1092, -35.52932,  0.00,  0.90088, -0.43408,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  1.28125,  0.39697,  0.52522,  0.67306,  0.52522,  0.67306,  0.52522,  0.67306
28, 41346, -1.55982,  10.84728, -35.98653,  0.00572,  0.77539, -0.63135,  0.00,  1.00, -0.00346,  0.00481, -1.00,  1.00,  1.00,  1.00,  1.00,  1.28125,  0.15735,  0.52522,  0.67053,  0.52522,  0.67053,  0.52522,  0.67053
29, 41344, -3.02811,  10.84728, -35.98653,  0.00287,  0.78223, -0.62305,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70654,  0.15735,  0.518,  0.67053,  0.518,  0.67053,  0.518,  0.67053
30, 41351, -1.55982,  11.1092, -35.52932,  0.00,  0.90088, -0.43408,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  1.28125,  0.39697,  0.52522,  0.67306,  0.52522,  0.67306,  0.52522,  0.67306
31, 41344, -3.02811,  10.84728, -35.98653,  0.00287,  0.78223, -0.62305,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70654,  0.15735,  0.518,  0.67053,  0.518,  0.67053,  0.518,  0.67053
32, 41348, -3.01965,  11.1092, -35.52932,  0.00,  0.90088, -0.43408,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70703,  0.39697,  0.518,  0.67306,  0.518,  0.67306,  0.518,  0.67306
33, 41351, -1.55982,  11.1092, -35.52932,  0.00,  0.90088, -0.43408,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  1.28125,  0.39697,  0.52522,  0.67306,  0.52522,  0.67306,  0.52522,  0.67306
34, 41350, -2.99945,  11.46076, -34.6439,  0.00,  0.9292, -0.36914,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70703,  0.97949,  0.518,  0.67923,  0.518,  0.67923,  0.518,  0.67923
35, 41352, -1.55982,  11.46076, -34.6439,  0.00,  0.9292, -0.36914,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  1.28125,  0.97949,  0.52522,  0.67923,  0.52522,  0.67923,  0.52522,  0.67923
36, 41353, -0.02894,  10.55685, -36.23541,  0.00,  0.69336, -0.72021,  0.00,  1.00, -0.01578, -0.01519, -1.00,  1.00,  1.00,  1.00,  1.00,  1.2002,  0.01001,  0.56695,  0.77886,  0.56695,  0.77886,  0.56695,  0.77886
37, 41354, -1.7282,  10.53789, -36.17629, -0.03287,  0.69336, -0.72021,  0.00,  0.99951,  0.01721, -0.02907, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5376,  0.00605,  0.55873,  0.77882,  0.55873,  0.77882,  0.55873,  0.77882
38, 41355, -1.71813,  10.77998, -35.94348, -0.03165,  0.77197, -0.63477,  0.00,  0.99951,  0.02322, -0.02161, -1.00,  1.00,  1.00,  1.00,  1.00,  0.53809,  0.1521,  0.55874,  0.78035,  0.55874,  0.78035,  0.55874,  0.78035
39, 41353, -0.02894,  10.55685, -36.23541,  0.00,  0.69336, -0.72021,  0.00,  1.00, -0.01578, -0.01519, -1.00,  1.00,  1.00,  1.00,  1.00,  1.2002,  0.01001,  0.56695,  0.77886,  0.56695,  0.77886,  0.56695,  0.77886
40, 41355, -1.71813,  10.77998, -35.94348, -0.03165,  0.77197, -0.63477,  0.00,  0.99951,  0.02322, -0.02161, -1.00,  1.00,  1.00,  1.00,  1.00,  0.53809,  0.1521,  0.55874,  0.78035,  0.55874,  0.78035,  0.55874,  0.78035
41, 41356, -0.02894,  10.79893, -36.0026,  0.00,  0.77197, -0.63574,  0.00,  1.00, -0.01067, -0.01295, -1.00,  1.00,  1.00,  1.00,  1.00,  1.19922,  0.14441,  0.56694,  0.78027,  0.56694,  0.78027,  0.56694,  0.78027
42, 41356, -0.02894,  10.79893, -36.0026,  0.00,  0.77197, -0.63574,  0.00,  1.00, -0.01067, -0.01295, -1.00,  1.00,  1.00,  1.00,  1.00,  1.19922,  0.14441,  0.56694,  0.78027,  0.56694,  0.78027,  0.56694,  0.78027
43, 41355, -1.71813,  10.77998, -35.94348, -0.03165,  0.77197, -0.63477,  0.00,  0.99951,  0.02322, -0.02161, -1.00,  1.00,  1.00,  1.00,  1.00,  0.53809,  0.1521,  0.55874,  0.78035,  0.55874,  0.78035,  0.55874,  0.78035
44, 41357, -1.70235,  11.08075, -35.4699, -0.02924,  0.88428, -0.46606,  0.00,  0.99951,  0.02667, -0.01211, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5376,  0.41943,  0.55874,  0.78314,  0.55874,  0.78314,  0.55874,  0.78314
45, 41356, -0.02894,  10.79893, -36.0026,  0.00,  0.77197, -0.63574,  0.00,  1.00, -0.01067, -0.01295, -1.00,  1.00,  1.00,  1.00,  1.00,  1.19922,  0.14441,  0.56694,  0.78027,  0.56694,  0.78027,  0.56694,  0.78027
46, 41357, -1.70235,  11.08075, -35.4699, -0.02924,  0.88428, -0.46606,  0.00,  0.99951,  0.02667, -0.01211, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5376,  0.41943,  0.55874,  0.78314,  0.55874,  0.78314,  0.55874,  0.78314
47, 41358, -0.02894,  11.10794, -35.52571,  0.00,  0.88428, -0.4668,  0.00,  1.00, -0.00335, -0.00635, -1.00,  1.00,  1.00,  1.00,  1.00,  1.19629,  0.39893,  0.5669,  0.78293,  0.5669,  0.78293,  0.5669,  0.78293
48, 41359, -1.66118,  11.444, -34.60949, -0.02826,  0.9209, -0.38818,  0.00,  0.99951,  0.02556, -0.01213, -1.00,  1.00,  1.00,  1.00,  1.00,  0.53662,  1.00391,  0.55872,  0.78925,  0.55872,  0.78925,  0.55872,  0.78925
49, 41358, -0.02894,  11.10794, -35.52571,  0.00,  0.88428, -0.4668,  0.00,  1.00, -0.00335, -0.00635, -1.00,  1.00,  1.00,  1.00,  1.00,  1.19629,  0.39893,  0.5669,  0.78293,  0.5669,  0.78293,  0.5669,  0.78293
50, 41357, -1.70235,  11.08075, -35.4699, -0.02924,  0.88428, -0.46606,  0.00,  0.99951,  0.02667, -0.01211, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5376,  0.41943,  0.55874,  0.78314,  0.55874,  0.78314,  0.55874,  0.78314
51, 41359, -1.66118,  11.444, -34.60949, -0.02826,  0.9209, -0.38818,  0.00,  0.99951,  0.02556, -0.01213, -1.00,  1.00,  1.00,  1.00,  1.00,  0.53662,  1.00391,  0.55872,  0.78925,  0.55872,  0.78925,  0.55872,  0.78925
52, 41360, -0.02894,  11.47119, -34.66531,  0.00,  0.92139, -0.38843,  0.00,  1.00, -0.00145, -0.00344, -1.00,  1.00,  1.00,  1.00,  1.00,  1.18848,  0.97949,  0.56681,  0.78899,  0.56681,  0.78899,  0.56681,  0.78899
53, 41358, -0.02894,  11.10794, -35.52571,  0.00,  0.88428, -0.4668,  0.00,  1.00, -0.00335, -0.00635, -1.00,  1.00,  1.00,  1.00,  1.00,  1.19629,  0.39893,  0.5669,  0.78293,  0.5669,  0.78293,  0.5669,  0.78293
54, 41361, -9.63394,  10.54655, -36.24627, -0.11957,  0.72852, -0.67432,  0.00,  0.99268,  0.07611, -0.09375, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36694,  0.00384,  0.39668,  0.79727,  0.39668,  0.79727,  0.39668,  0.79727
55, 41362, -10.48328,  10.44475, -36.11528, -0.21692,  0.74707, -0.62842,  0.00,  0.97607,  0.15125, -0.15723, -1.00,  1.00,  1.00,  1.00,  1.00,  0.07031,  0.00384,  0.39308,  0.79727,  0.39308,  0.79727,  0.39308,  0.79727
56, 41363, -10.36417,  10.67846, -35.8372, -0.22546,  0.80078, -0.55469,  0.00,  0.97363,  0.16333, -0.15991, -1.00,  1.00,  1.00,  1.00,  1.00,  0.06934,  0.15735,  0.39306,  0.79884,  0.39306,  0.79884,  0.39306,  0.79884
57, 41361, -9.63394,  10.54655, -36.24627, -0.11957,  0.72852, -0.67432,  0.00,  0.99268,  0.07611, -0.09375, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36694,  0.00384,  0.39668,  0.79727,  0.39668,  0.79727,  0.39668,  0.79727
58, 41363, -10.36417,  10.67846, -35.8372, -0.22546,  0.80078, -0.55469,  0.00,  0.97363,  0.16333, -0.15991, -1.00,  1.00,  1.00,  1.00,  1.00,  0.06934,  0.15735,  0.39306,  0.79884,  0.39306,  0.79884,  0.39306,  0.79884
59, 41364, -9.57202,  10.82544, -35.97721, -0.11749,  0.80566, -0.58105,  0.00,  0.99316,  0.08832, -0.07837, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36646,  0.15735,  0.39667,  0.79884,  0.39667,  0.79884,  0.39667,  0.79884
60, 41365, -8.77689,  10.54655, -36.24627,  0.0056,  0.67871, -0.73438,  0.00,  1.00, -0.00377,  0.00414, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.00384,  0.40032,  0.79727,  0.40032,  0.79727,  0.40032,  0.79727
61, 41361, -9.63394,  10.54655, -36.24627, -0.11957,  0.72852, -0.67432,  0.00,  0.99268,  0.07611, -0.09375, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36694,  0.00384,  0.39668,  0.79727,  0.39668,  0.79727,  0.39668,  0.79727
62, 41364, -9.57202,  10.82544, -35.97721, -0.11749,  0.80566, -0.58105,  0.00,  0.99316,  0.08832, -0.07837, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36646,  0.15735,  0.39667,  0.79884,  0.39667,  0.79884,  0.39667,  0.79884
63, 41365, -8.77689,  10.54655, -36.24627,  0.0056,  0.67871, -0.73438,  0.00,  1.00, -0.00377,  0.00414, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.00384,  0.40032,  0.79727,  0.40032,  0.79727,  0.40032,  0.79727
64, 41364, -9.57202,  10.82544, -35.97721, -0.11749,  0.80566, -0.58105,  0.00,  0.99316,  0.08832, -0.07837, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36646,  0.15735,  0.39667,  0.79884,  0.39667,  0.79884,  0.39667,  0.79884
65, 41366, -8.77268,  10.82544, -35.97721,  0.00287,  0.78174, -0.62354,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.15735,  0.40031,  0.79884,  0.40031,  0.79884,  0.40031,  0.79884
66, 41367, -7.30438,  10.52461, -36.22138,  0.01128,  0.6626, -0.74854,  0.00,  1.00, -0.00745,  0.00847, -1.00,  1.00,  1.00,  1.00,  1.00,  1.24121,  0.00384,  0.40729,  0.79727,  0.40729,  0.79727,  0.40729,  0.79727
67, 41365, -8.77689,  10.54655, -36.24627,  0.0056,  0.67871, -0.73438,  0.00,  1.00, -0.00377,  0.00414, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.00384,  0.40032,  0.79727,  0.40032,  0.79727,  0.40032,  0.79727
68, 41366, -8.77268,  10.82544, -35.97721,  0.00287,  0.78174, -0.62354,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.15735,  0.40031,  0.79884,  0.40031,  0.79884,  0.40031,  0.79884
69, 41367, -7.30438,  10.52461, -36.22138,  0.01128,  0.6626, -0.74854,  0.00,  1.00, -0.00745,  0.00847, -1.00,  1.00,  1.00,  1.00,  1.00,  1.24121,  0.00384,  0.40729,  0.79727,  0.40729,  0.79727,  0.40729,  0.79727
70, 41366, -8.77268,  10.82544, -35.97721,  0.00287,  0.78174, -0.62354,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.15735,  0.40031,  0.79884,  0.40031,  0.79884,  0.40031,  0.79884
71, 41368, -7.30438,  10.82544, -35.97721,  0.00572,  0.77539, -0.63184,  0.00,  1.00, -0.00346,  0.00481, -1.00,  1.00,  1.00,  1.00,  1.00,  1.24121,  0.15735,  0.40729,  0.79884,  0.40729,  0.79884,  0.40729,  0.79884
72, 41366, -8.77268,  10.82544, -35.97721,  0.00287,  0.78174, -0.62354,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.15735,  0.40031,  0.79884,  0.40031,  0.79884,  0.40031,  0.79884
73, 41364, -9.57202,  10.82544, -35.97721, -0.11749,  0.80566, -0.58105,  0.00,  0.99316,  0.08832, -0.07837, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36646,  0.15735,  0.39667,  0.79884,  0.39667,  0.79884,  0.39667,  0.79884
74, 41369, -9.43558,  11.08626, -35.52321, -0.09192,  0.89404, -0.43823,  0.00,  0.99561,  0.07715, -0.05139, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36719,  0.39697,  0.39668,  0.80129,  0.39668,  0.80129,  0.39668,  0.80129
75, 41366, -8.77268,  10.82544, -35.97721,  0.00287,  0.78174, -0.62354,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.15735,  0.40031,  0.79884,  0.40031,  0.79884,  0.40031,  0.79884
76, 41369, -9.43558,  11.08626, -35.52321, -0.09192,  0.89404, -0.43823,  0.00,  0.99561,  0.07715, -0.05139, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36719,  0.39697,  0.39668,  0.80129,  0.39668,  0.80129,  0.39668,  0.80129
77, 41370, -8.67762,  11.08626, -35.52321,  0.00,  0.89648, -0.44312,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.66699,  0.39697,  0.40032,  0.80129,  0.40032,  0.80129,  0.40032,  0.80129
78, 41371, -9.15745,  11.44825, -34.65919, -0.05844,  0.91602, -0.39648,  0.00,  0.99805,  0.05118, -0.0289, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36719,  0.97949,  0.39668,  0.80725,  0.39668,  0.80725,  0.39668,  0.80725
79, 41370, -8.67762,  11.08626, -35.52321,  0.00,  0.89648, -0.44312,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.66699,  0.39697,  0.40032,  0.80129,  0.40032,  0.80129,  0.40032,  0.80129
80, 41369, -9.43558,  11.08626, -35.52321, -0.09192,  0.89404, -0.43823,  0.00,  0.99561,  0.07715, -0.05139, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36719,  0.39697,  0.39668,  0.80129,  0.39668,  0.80129,  0.39668,  0.80129
81, 41371, -9.15745,  11.44825, -34.65919, -0.05844,  0.91602, -0.39648,  0.00,  0.99805,  0.05118, -0.0289, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36719,  0.97949,  0.39668,  0.80725,  0.39668,  0.80725,  0.39668,  0.80725
82, 41372, -8.58876,  11.44825, -34.65919,  0.00,  0.92236, -0.38647,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.97949,  0.40032,  0.80725,  0.40032,  0.80725,  0.40032,  0.80725
83, 41370, -8.67762,  11.08626, -35.52321,  0.00,  0.89648, -0.44312,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.66699,  0.39697,  0.40032,  0.80129,  0.40032,  0.80129,  0.40032,  0.80129
84, 41373, -7.30438,  11.08626, -35.52321,  0.00,  0.89648, -0.44312,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  1.24121,  0.39697,  0.40729,  0.80129,  0.40729,  0.80129,  0.40729,  0.80129
85, 41370, -8.67762,  11.08626, -35.52321,  0.00,  0.89648, -0.44312,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.66699,  0.39697,  0.40032,  0.80129,  0.40032,  0.80129,  0.40032,  0.80129
86, 41372, -8.58876,  11.44825, -34.65919,  0.00,  0.92236, -0.38647,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.97949,  0.40032,  0.80725,  0.40032,  0.80725,  0.40032,  0.80725
87, 41373, -7.30438,  11.08626, -35.52321,  0.00,  0.89648, -0.44312,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  1.24121,  0.39697,  0.40729,  0.80129,  0.40729,  0.80129,  0.40729,  0.80129
88, 41368, -7.30438,  10.82544, -35.97721,  0.00572,  0.77539, -0.63184,  0.00,  1.00, -0.00346,  0.00481, -1.00,  1.00,  1.00,  1.00,  1.00,  1.24121,  0.15735,  0.40729,  0.79884,  0.40729,  0.79884,  0.40729,  0.79884
89, 41366, -8.77268,  10.82544, -35.97721,  0.00287,  0.78174, -0.62354,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.15735,  0.40031,  0.79884,  0.40031,  0.79884,  0.40031,  0.79884
90, 41373, -7.30438,  11.08626, -35.52321,  0.00,  0.89648, -0.44312,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  1.24121,  0.39697,  0.40729,  0.80129,  0.40729,  0.80129,  0.40729,  0.80129
91, 41366, -8.77268,  10.82544, -35.97721,  0.00287,  0.78174, -0.62354,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.15735,  0.40031,  0.79884,  0.40031,  0.79884,  0.40031,  0.79884
92, 41370, -8.67762,  11.08626, -35.52321,  0.00,  0.89648, -0.44312,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.66699,  0.39697,  0.40032,  0.80129,  0.40032,  0.80129,  0.40032,  0.80129
93, 41373, -7.30438,  11.08626, -35.52321,  0.00,  0.89648, -0.44312,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  1.24121,  0.39697,  0.40729,  0.80129,  0.40729,  0.80129,  0.40729,  0.80129
94, 41372, -8.58876,  11.44825, -34.65919,  0.00,  0.92236, -0.38647,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.6665,  0.97949,  0.40032,  0.80725,  0.40032,  0.80725,  0.40032,  0.80725
95, 41374, -7.30438,  11.44825, -34.65919,  0.00,  0.92236, -0.38647,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  1.24121,  0.97949,  0.40729,  0.80725,  0.40729,  0.80725,  0.40729,  0.80725
96, 41375, -9.62056,  11.44825, -34.65919, -0.14282,  0.90137, -0.4082,  0.00,  0.98975,  0.13013, -0.05893, -1.00,  1.00,  1.00,  1.00,  1.00,  0.07031,  0.97949,  0.39308,  0.80725,  0.39308,  0.80725,  0.39308,  0.80725
97, 41371, -9.15745,  11.44825, -34.65919, -0.05844,  0.91602, -0.39648,  0.00,  0.99805,  0.05118, -0.0289, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36719,  0.97949,  0.39668,  0.80725,  0.39668,  0.80725,  0.39668,  0.80725
98, 41369, -9.43558,  11.08626, -35.52321, -0.09192,  0.89404, -0.43823,  0.00,  0.99561,  0.07715, -0.05139, -1.00,  1.00,  1.00,  1.00,  1.00,  0.36719,  0.39697,  0.39668,  0.80129,  0.39668,  0.80129,  0.39668,  0.80129
99, 41375, -9.62056,  11.44825, -34.65919, -0.14282,  0.90137, -0.4082,  0.00,  0.98975,  0.13013, -0.05893, -1.00,  1.00,  1.00,  1.00,  1.00,  0.07031,  0.97949,  0.39308,  0.80725,  0.39308,  0.80725,  0.39308,  0.80725
