VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y
66, 29, -0.20202, -0.07066,  0.16087, -0.04969,  0.16057,  0.98577, -0.96338,  0.25269, -0.08972, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
67, 33,  0.40854,  0.53666,  0.05636,  0.03462,  0.13559,  0.99016, -0.96397,  0.26601, -0.00273, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505
68, 30, -0.0028,  0.65017,  0.0552, -0.04965,  0.16056,  0.98578, -0.96338,  0.25269, -0.08968, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505
69, 29, -0.20202, -0.07066,  0.16087, -0.04969,  0.16057,  0.98577, -0.96338,  0.25269, -0.08972, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
70, 34,  0.20931, -0.18418,  0.16203,  0.03462,  0.13559,  0.99016, -0.96396,  0.26602, -0.00273, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.3375,  0.8239,  0.3375,  0.8239,  0.3375,  0.8239,  0.3375
71, 33,  0.40854,  0.53666,  0.05636,  0.03462,  0.13559,  0.99016, -0.96397,  0.26601, -0.00273, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505
72, 35, -0.11086, -0.10325,  0.14758,  0.00767,  0.18503,  0.9827, -0.94704,  0.31684, -0.05226, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
73, 36,  0.13189,  0.59958,  0.01505,  0.00771,  0.18501,  0.98271, -0.94704,  0.31684, -0.05222, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505
74, 37, -0.32118,  0.74251, -0.05465, -0.07487,  0.21424,  0.97391, -0.94411,  0.29917, -0.13839, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505
75, 35, -0.11086, -0.10325,  0.14758,  0.00767,  0.18503,  0.9827, -0.94704,  0.31684, -0.05226, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
76, 37, -0.32118,  0.74251, -0.05465, -0.07487,  0.21424,  0.97391, -0.94411,  0.29917, -0.13839, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505
77, 38, -0.56371,  0.04088,  0.08448, -0.07487,  0.21424,  0.97391, -0.94411,  0.29917, -0.13839, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.3375,  0.9855,  0.3375,  0.9855,  0.3375,  0.9855,  0.3375
78, 35, -0.11086, -0.10325,  0.14758,  0.00767,  0.18503,  0.9827, -0.94704,  0.31684, -0.05226, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
79, 39,  0.53413,  0.45789,  0.00041,  0.09019,  0.15437,  0.98389, -0.94263,  0.33206,  0.03431, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505
80, 36,  0.13189,  0.59958,  0.01505,  0.00771,  0.18501,  0.98271, -0.94704,  0.31684, -0.05222, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505
81, 35, -0.11086, -0.10325,  0.14758,  0.00767,  0.18503,  0.9827, -0.94704,  0.31684, -0.05226, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
82, 40,  0.29137, -0.24494,  0.13293,  0.09019,  0.15437,  0.98389, -0.94263,  0.33206,  0.03431, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.3375,  0.8239,  0.3375,  0.8239,  0.3375,  0.8239,  0.3375
83, 39,  0.53413,  0.45789,  0.00041,  0.09019,  0.15437,  0.98389, -0.94263,  0.33206,  0.03431, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505
84, 41, -0.16341,  0.75325, -0.12836,  0.05924,  0.32347,  0.94438, -0.9973,  0.06026,  0.04191, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5908,  0.9868,  0.5908,  0.9868,  0.5908,  0.9868,  0.5908,  0.9868
85, 42,  0.22821,  0.34573, -0.01334,  0.15049,  0.22437,  0.96282, -0.9875,  0.08023,  0.13565, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919
86, 43,  0.6338,  0.68847, -0.23802,  0.24825,  0.30825,  0.91834, -0.96847,  0.09949,  0.2284, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4009,  0.9868,  0.4009,  0.9868,  0.4009,  0.9868,  0.4009,  0.9868
87, 43,  0.6338,  0.68847, -0.23802,  0.24825,  0.30825,  0.91834, -0.96847,  0.09949,  0.2284, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4009,  0.9868,  0.4009,  0.9868,  0.4009,  0.9868,  0.4009,  0.9868
88, 42,  0.22821,  0.34573, -0.01334,  0.15049,  0.22437,  0.96282, -0.9875,  0.08023,  0.13565, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919
89, 44,  0.59741, -0.09387, -0.04951,  0.23976,  0.12213,  0.96312, -0.96846,  0.09935,  0.22849, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4009,  0.7969,  0.4009,  0.7969,  0.4009,  0.7969,  0.4009,  0.7969
90, 44,  0.59741, -0.09387, -0.04951,  0.23976,  0.12213,  0.96312, -0.96846,  0.09935,  0.22849, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4009,  0.7969,  0.4009,  0.7969,  0.4009,  0.7969,  0.4009,  0.7969
91, 42,  0.22821,  0.34573, -0.01334,  0.15049,  0.22437,  0.96282, -0.9875,  0.08023,  0.13565, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919
92, 45, -0.19985, -0.02905,  0.06015,  0.04978,  0.13713,  0.9893, -0.9973,  0.06045,  0.0418, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5908,  0.7969,  0.5908,  0.7969,  0.5908,  0.7969,  0.5908,  0.7969
93, 45, -0.19985, -0.02905,  0.06015,  0.04978,  0.13713,  0.9893, -0.9973,  0.06045,  0.0418, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5908,  0.7969,  0.5908,  0.7969,  0.5908,  0.7969,  0.5908,  0.7969
94, 42,  0.22821,  0.34573, -0.01334,  0.15049,  0.22437,  0.96282, -0.9875,  0.08023,  0.13565, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919
95, 41, -0.16341,  0.75325, -0.12836,  0.05924,  0.32347,  0.94438, -0.9973,  0.06026,  0.04191, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5908,  0.9868,  0.5908,  0.9868,  0.5908,  0.9868,  0.5908,  0.9868
96, 46, -0.65167,  0.40711, -0.22482, -0.36158,  0.06674,  0.92995, -0.75752, -0.60251, -0.2513, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5908,  0.9868,  0.5908,  0.9868,  0.5908,  0.9868,  0.5908,  0.9868
97, 47, -0.12054,  0.33193, -0.01291, -0.23338,  0.04802,  0.9712, -0.78242, -0.60232, -0.15823, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919
98, 48, -0.01999,  0.89339, -0.09722, -0.2119,  0.18214,  0.96017, -0.80008, -0.59653, -0.06342, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4009,  0.9868,  0.4009,  0.9868,  0.4009,  0.9868,  0.4009,  0.9868
99, 48, -0.01999,  0.89339, -0.09722, -0.2119,  0.18214,  0.96017, -0.80008, -0.59653, -0.06342, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4009,  0.9868,  0.4009,  0.9868,  0.4009,  0.9868,  0.4009,  0.9868
100, 47, -0.12054,  0.33193, -0.01291, -0.23338,  0.04802,  0.9712, -0.78242, -0.60232, -0.15823, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919
101, 49,  0.44599,  0.2523,  0.04696, -0.10091,  0.02975,  0.99445, -0.80, -0.59664, -0.06333, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4009,  0.7969,  0.4009,  0.7969,  0.4009,  0.7969,  0.4009,  0.7969
102, 49,  0.44599,  0.2523,  0.04696, -0.10091,  0.02975,  0.99445, -0.80, -0.59664, -0.06333, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4009,  0.7969,  0.4009,  0.7969,  0.4009,  0.7969,  0.4009,  0.7969
103, 47, -0.12054,  0.33193, -0.01291, -0.23338,  0.04802,  0.9712, -0.78242, -0.60232, -0.15823, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919
